epoch,train_loss,val_rmse
1,0.07824445602309858,0.8758520677911785
2,0.07455910959055198,0.8799042185763222
3,0.07186368588095193,0.8943728177559153
4,0.06918617091416727,0.9050056859886312
5,0.06704032028562276,0.909021119939366
6,0.0655462364122942,0.9130383484214513
7,0.06448192502624014,0.921336226704669
8,0.06363943668301233,0.9260632371196039
9,0.06300185990493405,0.9222182265320231
10,0.06244117822231934,0.9303854878644376
11,0.06201481543827741,0.9285898861779812
12,0.06164965046242779,0.9302949924122225
13,0.06133410154519482,0.9359565745656453
14,0.061045403978601656,0.9333171674202577
15,0.06081176258180283,0.9353890494933369
16,0.06061357009490941,0.9420055840077695
17,0.0604672518313109,0.9364596316307723
18,0.06030458428273897,0.9372409462642838
19,0.06013007735085528,0.9385906233528276
20,0.06000292406286937,0.9439634043946644
