epoch,train_loss,val_rmse
1,0.054952517397248664,0.5868574676901127
2,0.03443200333748717,0.5661144162479728
3,0.03273070981801563,0.5611881747952818
4,0.030818080756108503,0.5677213200708202
5,0.0300817972275655,0.5354944260482555
6,0.029482968579474335,0.556985233112851
7,0.02923342995219738,0.5280102509204314
8,0.02897236480478298,0.5627114905031403
9,0.029462147088771738,0.5255452038571239
10,0.0285767566261662,0.543693662333776
11,0.028002714423613774,0.5479347587422022
12,0.027896276933166222,0.5203224410290193
13,0.027670250041410327,0.5175857255485569
14,0.027607829656099547,0.523136393925449
15,0.027583972097852745,0.5488680896258866
16,0.02710332247629963,0.5160535418710169
17,0.02680094654646677,0.5180826858709539
18,0.027494682231917977,0.5539658378541316
19,0.026843781199155224,0.5348244633987681
20,0.02668316274679996,0.5207310639746386
21,0.026750519494148525,0.51969732053909
22,0.026618134582767617,0.5183445851473406
23,0.026206962468505308,0.5224254275224419
24,0.025855604943039047,0.5147933321681059
25,0.026039566762896406,0.5433748496708948
26,0.026029095317967033,0.5584271322525002
27,0.02575490269432398,0.5288674558670825
28,0.02562917332240456,0.5221346397742931
29,0.025359538012511423,0.5208227696936951
30,0.025094879023428704,0.5192381239842924
