epoch,train_loss,val_rmse
1,0.07882378482029213,0.8753693686563854
2,0.07515109223956161,0.8740967448089391
3,0.0731298265675602,0.8772329381053763
4,0.0711980736020958,0.889691884626619
5,0.06933130667854548,0.8992340205906854
6,0.0676060754676304,0.905521560458603
7,0.0661364532570184,0.9125925944653797
8,0.06494006485193428,0.9191172780428875
9,0.06396393454479724,0.9304008311763242
10,0.06314553996148038,0.9344639573124379
11,0.06261955248023127,0.9381346461786865
12,0.06203325583221537,0.9366211904796765
13,0.061802510621006695,0.9307381599445754
14,0.061397880226005036,0.9380955394004871
15,0.06100771239706259,0.9383342527844637
16,0.06066458508623361,0.9389879498587074
17,0.06038133792958933,0.9400758959181779
18,0.06012033195449144,0.951463909084108
19,0.05993321024661609,0.9434900292060228
20,0.05967786632387667,0.9490653647994087
