epoch,train_loss,val_rmse
1,0.043319616048880245,0.5680966638563465
2,0.035541364686644594,0.5535158489821794
3,0.0351383450432964,0.5792493969218968
4,0.034840282681195635,0.5499068820761354
5,0.034515701765599455,0.5550756305421085
6,0.0341637442746888,0.5682011282413832
7,0.03414618744150452,0.5460242329501743
8,0.03406725784358771,0.5571676068651302
9,0.03365079750185428,0.5428800990782866
10,0.03353767550185971,0.5565013778254752
11,0.033421760768346166,0.5500543004020677
12,0.03353353171892788,0.559325159505713
13,0.03334109637400379,0.5420014526674996
14,0.03315017684646275,0.5441692172258938
15,0.0331193346530199,0.541077785845778
16,0.033105664943223416,0.543595535437669
17,0.033057067585380184,0.5474242313421946
18,0.03297666150590648,0.5467078362155365
19,0.03302121980682663,0.5517998333348972
20,0.0328548213839531,0.5516582567989571
21,0.032859354197331096,0.5495224765384186
22,0.03286590236360612,0.540755226459192
23,0.032625875570203945,0.5668013148590698
24,0.032709479581402696,0.5442594104158303
25,0.032623420969947525,0.5455272415694775
26,0.03254133829280086,0.5409617758713389
27,0.03242802513358386,0.5430767034340874
28,0.03242129686733951,0.5399801763675252
29,0.03243912307788496,0.541198396623482
30,0.032306159491772235,0.5414689846490737
