epoch,train_loss,val_rmse
1,0.052225366001948714,0.5502781836377532
2,0.0340472930425627,0.5672709211893718
3,0.03241503613094825,0.53630996862298
4,0.032221474458236955,0.526955723172874
5,0.031493996043463014,0.5298297353526144
6,0.03130941026265154,0.5306837766914548
7,0.03128848722632471,0.5344602974080139
8,0.030917539330501412,0.5288168500570988
9,0.0308438610298106,0.5358055519517642
10,0.030884861002197943,0.5294471893270526
11,0.03054211935582193,0.5315373709343766
12,0.03029712360050227,0.5304041748743465
13,0.03011021815945168,0.5286312069928755
14,0.030160394981755195,0.5504619944686053
15,0.030073032657792036,0.5288243454324576
16,0.029927420222225623,0.5243109631908638
17,0.02979939556177202,0.5227984042641672
18,0.029598010395578033,0.5202139477572594
19,0.02966452466097434,0.5219632353971807
20,0.029633244631711294,0.5260478450550806
21,0.029356859882387357,0.5290940519006115
22,0.029369070307930577,0.5270397298918369
23,0.02927085676079465,0.5273717802156948
24,0.029312452829971507,0.5186978302425779
25,0.029083920661611733,0.5274172131266389
26,0.02899663831182831,0.5236837462625209
27,0.029168216882877657,0.5338248237051114
28,0.028828932765267185,0.5254295646673576
29,0.02896492287038347,0.5269776663074247
30,0.028937247248265793,0.5196276697159514
