epoch,train_loss,val_rmse
1,0.36819785833358765,0.8540871668469752
2,0.20465795199076334,0.6134898323049724
3,0.13597949594259262,0.5739613170050063
4,0.15231691797574362,0.5361531849588048
5,0.12812655170758566,0.5400069159930243
6,0.12011088182528813,0.5693415646413998
7,0.11767251541217168,0.5625128479655892
8,0.11365245779355367,0.5216146870646482
9,0.10446121295293172,0.500273182865095
10,0.10820092757542928,0.4999324782794479
11,0.10617638379335403,0.5004963497348869
12,0.10332210858662923,0.5024067947433146
13,0.10124542067448299,0.5064482924568253
14,0.10101840893427531,0.5003093120370927
15,0.10174042731523514,0.49652484875891784
16,0.1005082627137502,0.49843794484851084
17,0.09886889656384786,0.4907591089782054
18,0.09646009405454,0.493615319800206
19,0.09547296911478043,0.4978372918257766
20,0.09635941684246063,0.49923458223504846
21,0.09688568860292435,0.4940372856553736
22,0.09323705236117046,0.491212772798238
23,0.0961578090985616,0.49407388590771184
24,0.09283528725306193,0.49938858916087087
25,0.0947396531701088,0.5071158104962609
26,0.09700574974219005,0.49510940756318994
27,0.09459362675746281,0.5006805794827712
28,0.09819224973519643,0.4949074776955752
29,0.09366573641697566,0.49848462482930755
30,0.09201498081286748,0.4970519656409643
