epoch,train_loss,val_rmse
1,0.04317136239134581,0.48069999526412516
2,0.026122438211648447,0.4845149238047695
3,0.025362297297908447,0.48080804521427617
4,0.024089500405573967,0.47505397929110993
5,0.02382521447096322,0.482937633631389
6,0.023252022628848616,0.4555176343906567
7,0.023352461181127944,0.47526070755901756
8,0.0222962959858312,0.4630444106230622
9,0.02242113436836548,0.46387402981178927
10,0.022235915146617068,0.47996187222565867
11,0.022179497484545653,0.46370552859985015
12,0.021833642002044094,0.45255068853374597
13,0.021832275109969684,0.460161056234392
14,0.021766644238645362,0.4637228008221613
15,0.021322877854234666,0.4721713771125044
16,0.0212550701642711,0.45290423638810773
17,0.021275783668750443,0.47131893033278655
18,0.021268039529614553,0.457498784037574
19,0.020937108406419488,0.4557194427179438
20,0.021061641551126296,0.4804453650265368
21,0.020807098792362456,0.4469293387927769
22,0.020329180724188888,0.4631002249377995
23,0.020708467874273256,0.4615867535799058
24,0.02045704787471206,0.463013403339081
25,0.020328675541473,0.44767424395814737
26,0.02006086038828299,0.456770015296798
27,0.020202755226401258,0.46109788335009494
28,0.020323560142109322,0.45092657777878536
29,0.019967967320258753,0.44354166996951244
30,0.019929858767805068,0.4454665670404967
