epoch,train_loss,val_rmse
1,0.18589371325154053,0.9638580971147134
2,0.09592829370184948,0.7195889096760962
3,0.07977710899553801,0.6562322205451134
4,0.07136622522222369,0.5795607909045015
5,0.0633155464341766,0.5787537223251303
6,0.058741914402497444,0.5654166159164792
7,0.05773106903622025,0.5709547058836897
8,0.05688052173507841,0.5725268395974802
9,0.05813470580860188,0.5632826076284865
10,0.057206298959882634,0.5917748173294923
11,0.05781154961962449,0.5596446042899095
12,0.05712932799207537,0.5550176417064253
13,0.056725357806212025,0.5568243158653701
14,0.05776629381273922,0.5681717815379685
15,0.05662177983475359,0.5843231341350856
16,0.05778022914340621,0.5974613195931247
17,0.0674960550509001,0.5725564315419341
18,0.05605924109879293,0.5870437859543827
19,0.05525696052140311,0.5612396319138975
20,0.0582304410636425,0.5623756907116069
21,0.057758409922060217,0.5894279277413782
22,0.05801450618003544,0.5724539853639903
23,0.06004608285270239,0.5875381984872998
24,0.0578417952515577,0.5924929311789376
25,0.059432112856915124,0.5845734040152758
26,0.056217239385372715,0.5817236631617833
27,0.057612170514307524,0.5616363146567837
28,0.058590777022273915,0.5541960728761898
29,0.055900060620747115,0.5611107678171037
30,0.055895493806977024,0.5733195420018499
