epoch,train_loss,val_rmse
1,0.1252869289172323,0.5780406323294454
2,0.06811291097026122,0.5742165701688535
3,0.06434189881149091,0.5824177629925632
4,0.06041063133038973,0.6470308097758635
5,0.06288192068275653,0.6130636521658278
6,0.05784981089987253,0.5907471414449256
7,0.06467298359463089,0.5999391872661656
8,0.056500228415978584,0.5516826207061972
9,0.05564105736189767,0.5659308181107043
10,0.05759256137044806,0.5570899889607128
11,0.0573565613870558,0.5837038061501164
12,0.055318164198022136,0.5520240074047554
13,0.059802072612862835,0.5552693122981577
14,0.05556521878430718,0.5867384966944519
15,0.0562201195249432,0.5577577056472165
16,0.05728376205814512,0.5537589723450004
17,0.05519185960292816,0.5925780073151946
18,0.06024151501294814,0.563236046404476
19,0.053132873910822366,0.579459300199235
20,0.05434099624031469,0.5648390826484881
21,0.05405972447050245,0.5691556563320089
22,0.05485516570900616,0.5634642389758056
23,0.05241281950944349,0.5903335205261275
24,0.05428568803166088,0.57498781771816
25,0.05328356023681791,0.5760548100917906
26,0.05206015804096272,0.5634760335989177
27,0.05253949232007328,0.5681052409933669
28,0.054996799481542485,0.5562652660803857
29,0.05332861154487258,0.5597719425076516
30,0.051656915169013176,0.5534871505272707
