epoch,train_loss,val_rmse
1,0.07941321276150537,0.8738299789715993
2,0.07766540977793236,0.871282993168098
3,0.07723732128156213,0.8685290638854236
4,0.07700929586118371,0.8747574947000134
5,0.07682225388596119,0.8644507930843103
6,0.07669147170284049,0.8638983889694903
7,0.07657199609872946,0.8629611358223787
8,0.07644684577039385,0.8629000413276396
9,0.076353191035208,0.8633125264987929
10,0.07629027076011516,0.86104297026517
11,0.07625154763067689,0.8635760188124404
12,0.07616591865248862,0.8660622246524262
13,0.07615023978589999,0.8626969029777017
14,0.07609194630983797,0.8649921982474001
15,0.07607243918073116,0.8640693760851801
16,0.07603794988622148,0.8627460253239007
17,0.07599874592580237,0.861051934697358
18,0.0759840959154338,0.859880090881707
19,0.0759578792985682,0.8638459511996466
20,0.0759449181690936,0.8658972756092383
