epoch,train_loss,val_rmse
1,0.07972081493698323,0.8790250570742312
2,0.07574063786626256,0.8814007434020381
3,0.07374750485726767,0.8818618246779945
4,0.0721797778309472,0.8926011297487618
5,0.07091337828155099,0.8948034347157046
6,0.06989662198234238,0.9010178373563161
7,0.06906072409951844,0.9125190484658492
8,0.06835813875299994,0.9063720292113837
9,0.06781215034584154,0.9088319959732682
10,0.06735067986036115,0.9105523356793941
11,0.06690396266850576,0.9176468629777492
12,0.0666082985166879,0.915956702706221
13,0.06625560333439474,0.9192329629476551
14,0.06622621049164239,0.9150541094638968
15,0.0658267414100797,0.914484106139508
16,0.0656102451569911,0.9226060328759557
17,0.06543335384347847,0.9151041665219238
18,0.06525384064459501,0.924440854133864
19,0.06517116933160116,0.9304016960318827
20,0.06498663255412153,0.9255766823654643
