epoch,train_loss,val_rmse
1,0.36858779191970825,0.9043938273781477
2,0.2094918837149938,0.6531961320170375
3,0.15486740072568259,0.5433392255654711
4,0.13295181095600128,0.5476543050995384
5,0.1282641738653183,0.5227760291731874
6,0.10492887099583943,0.5113797994428987
7,0.10623069604237874,0.5098099963290492
8,0.09627184271812439,0.48750243064078796
9,0.089454285800457,0.4668964295786517
10,0.08824704587459564,0.4588003560734991
11,0.0853143682082494,0.4568856162156772
12,0.07991111030181249,0.45777845028228087
13,0.07809173315763474,0.4566671274030872
14,0.07740982373555501,0.454998042055256
15,0.0770492007335027,0.4517589069358146
16,0.07440693428119023,0.4467325990711027
17,0.07614290465911229,0.4512688998969358
18,0.07132335255543391,0.4481220458344325
19,0.07297186801830928,0.446776710051207
20,0.07584716379642487,0.4561559331936856
21,0.06953771412372589,0.4602742029381346
22,0.06882767875989278,0.4488287518183993
23,0.06803452223539352,0.45122930648357473
24,0.0702345718940099,0.4516166212390592
25,0.0668226679166158,0.4478863569103194
26,0.06428362180789311,0.4533184230622078
27,0.06521752725044887,0.450742393286655
28,0.064444733162721,0.450664929037558
29,0.0640253300468127,0.46074651543887674
30,0.06275696059068044,0.45932998631311717
