epoch,train_loss,val_rmse
1,0.05259916776589848,0.5792721373304363
2,0.03392722011493469,0.5316985424595015
3,0.03262964466813247,0.5342485289350365
4,0.03222982692406387,0.528033250818358
5,0.03162872252004171,0.5357465898901016
6,0.03142766178132513,0.5339932857459216
7,0.03132536974609704,0.5357111539067959
8,0.031135181946730293,0.5251544577588703
9,0.030789172100658353,0.562858043736324
10,0.031016519846948417,0.5451830986411171
11,0.03063270958090151,0.538427061310736
12,0.0301796607610241,0.5265757584529838
13,0.030251471709611046,0.5247477742984381
14,0.030022590849045162,0.5368459159425001
15,0.030060136445319734,0.5344405574628597
16,0.03028095076238183,0.5235006949011154
17,0.029929448057570168,0.5209559073854563
18,0.030022428735989978,0.5457827150252561
19,0.030040202549079787,0.5275508050271954
20,0.029672620717335393,0.5219350289181343
21,0.029737098362749896,0.5309449610373951
22,0.02938120169061664,0.5230796786584704
23,0.02927319730657178,0.5298101322597721
24,0.029342157917248236,0.5184639314302609
25,0.02930328853403193,0.5216354265649568
26,0.029071307067784505,0.5235047937663747
27,0.029167170000791148,0.5209741560974858
28,0.029128750754721666,0.5189861794066685
29,0.028892777300112554,0.5368185747313425
30,0.028865681703177257,0.5201091850258183
