epoch,train_loss,val_rmse
1,0.04859180312377174,0.5690988403565224
2,0.035034373006154154,0.5544086883871457
3,0.03446129085244359,0.5581370801141636
4,0.0341411792056484,0.5525399125471214
5,0.03352481258932401,0.5430310165598833
6,0.03336188307258527,0.5447824498035736
7,0.032901266879225906,0.5404386232200536
8,0.032434837836017076,0.5399989411555611
9,0.0322360827247738,0.5443199962941203
10,0.03191591750175969,0.5400267835880146
11,0.03152164682821446,0.5334607574362922
12,0.19371712786095166,2.2176761446280637
13,0.4392610812509382,2.257676697973118
14,0.24713032692670822,1.2812482322122427
15,0.09788716320149801,1.1945715708442348
16,0.1695236547069775,1.442666678624908
17,0.17013674194144235,1.298885625269147
18,0.15553112043621573,1.2582933916401176
19,0.1627180188189487,1.3773174263899424
20,0.17375184766746857,1.377164783848748
21,0.1789761562202428,1.350875944720196
22,0.17136300783100966,1.2404623948393434
23,0.11980388738919755,0.961604468390878
24,0.1031060401299918,0.9648325992820198
25,0.13821529297510515,1.1674934874685834
26,0.1513933125832999,1.2467914887954994
27,0.15833441155484398,1.2531286662897145
28,0.1537775081909589,1.2123539177898035
29,0.14668147837290088,1.1906706993964558
30,0.1565361085373002,1.2316119499510167
